date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:33	97/97	---MCZ	200	added ('OK')	text/plain	date:Mon,%2013%20May%202019%2017:56:40%20GMT	https://www.designdok.com/robots.txt		(from )
17:22:34	350508/350508	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2000:22:33%20GMT	https://www.designdok.com/	/Users/canyonsmith/websites/consultancy/www.designdok.com/index.html	(from )
17:22:35	105414/105414	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2031%20Oct%202019%2000:41:48%20GMT	https://www.designdok.com/favicon.ico	/Users/canyonsmith/websites/consultancy/www.designdok.com/favicon.ico	(from https://www.designdok.com/)
17:22:37	308101/308101	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Jan%202020%2019:39:30%20GMT	https://www.designdok.com/assets/css/m-style.css	/Users/canyonsmith/websites/consultancy/www.designdok.com/assets/css/m-style.css	(from https://www.designdok.com/)
17:22:37	333423/333423	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Jan%202020%2019:38:42%20GMT	https://www.designdok.com/assets/css/style.css	/Users/canyonsmith/websites/consultancy/www.designdok.com/assets/css/style.css	(from https://www.designdok.com/)
17:22:38	12322/12322	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2031%20Oct%202019%2000:10:50%20GMT	https://www.designdok.com/assets/images/logo.svg	/Users/canyonsmith/websites/consultancy/www.designdok.com/assets/images/logo.svg	(from https://www.designdok.com/)
17:22:39	76971/76971	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2000:22:38%20GMT	https://www.designdok.com/services	/Users/canyonsmith/websites/consultancy/www.designdok.com/services.html	(from https://www.designdok.com/)
17:22:40	81871/81871	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2000:22:39%20GMT	https://www.designdok.com/logo-design	/Users/canyonsmith/websites/consultancy/www.designdok.com/logo-design.html	(from https://www.designdok.com/)
17:22:41	97649/97649	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2000:22:40%20GMT	https://www.designdok.com/branding	/Users/canyonsmith/websites/consultancy/www.designdok.com/branding.html	(from https://www.designdok.com/)
17:22:42	119600/119600	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2000:22:41%20GMT	https://www.designdok.com/website-design-development	/Users/canyonsmith/websites/consultancy/www.designdok.com/website-design-development.html	(from https://www.designdok.com/)
17:22:43	139841/139841	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2000:22:42%20GMT	https://www.designdok.com/motion-graphics	/Users/canyonsmith/websites/consultancy/www.designdok.com/motion-graphics.html	(from https://www.designdok.com/)
